Byte_or_Block,Frequency
fb980e57c219b044c4f84498bf7a02e0,1
b9bfd22149bec4b37287589757a6b713,1
439feb3cb3e62ba655be731ab7759afd,1
89adc1295a798720c342855e7ccb79f1,1
4243dc011750638f559a3b7697c20401,1
710b9236a1466fbc76823b5a140f035d,1
55f85ebfe92ae3ad9fb794afe116099f,1
e1af11c98501ae3cf744df8d1e8d65e8,1
2ad635a8ab6294241ee66198b3a05ac0,1
76ca4818fbc2675144218c43eb1c3276,1
cdbc1b9847f0d75dde1e8c6c058fe6fc,1
95788450009296272e57046fe1dc49dd,1
a56329fc4200c01d77f53c0765a3285f,1
35a3fd65021376e41a09a841353692b4,1
00855a14bd4e85db66be6d37c79484f6,1
7c3aa44d0eaf4af0cf1ab541c89d2342,1
2ef5ec0c5daa73f36a4d9aba5d41d046,1
c7921c730888979817c2cabe2aeaaa3c,1
6d70d6faca8a01f3497781a4fec96db3,1
e273c342e8ca9621c5ba0683aa2265f3,1
50fb75dd12dfa7f94062c0d62d677ad9,1
a4ba883af99b1a177f70a7a3ad429431,1
ca945e25a39f63f5bdbb9bd9d852608b,1
d7feb64b6a208e3831ae0ce6f5a1254c,1
e7e80776b3eef69b445a32e4dc3dba3d,1
2c96240e862346b4e304ff72e7172750,1
6b30e5236547d0d40ecd00311ae73604,1
7a678f00f14fc1a687a2d4a657d04790,1
6a42f2bdc33dc96f2b5cbecf6b0bb69a,1
3d6bd306779abfec32d859e8e6820179,1
aa2672ce4fab1aa0e50cda8c7554bb21,1
1e972b134b8ff7f27e7731713f711dd4,1
bc3954f147dacd08e40b2f0e08bad256,1
537d789942214bb6e4fd2f6ea09e5361,1
3bbe1c943ff2c03b27c5ced834932de2,1
12a66f73af6cda3f4a66bc1b92b7c939,1
f8c916cceed3da07e3561eb963694869,1
b6cbedc62ce29823ee10554268c0fb58,1
9d96f426431330d3a2dc36fbaea12896,1
47f04272ad1bda197019752922fe78d0,1
9db9363e49bd3bcb39e63470f4c56cd5,1
87e9705e60e303249f1d9e64903ad22e,1
